0,1,2,3,4,5,6,7,8,9,10,11,12
"S/ 2,250",10%,S/ 1 Mantenimiento,Horacio Urteaga 1500,"Jesús María, Lima",98 m²,100 m²,3 dorm.,2 baños,"Alquilo Departamento en Zona CéntricaSe alquila lindo departamento en una zona muy céntrica y exclusiva, en el distrito de Jesús Maria super céntrico y con acceso a cualquier distrito de Lima. Tiene fácil salida a la vía expresa, se encuentra cerca de supermercados como Wong, plaza vea, abastos, boticas, panaderías, restaurantes y comercios de diferente índole. Característica del departamento: Área ocupada: 100 m2. - 03 dormitorios. - Cuarto de servicio. - 3 baños completos con excelentes acabados. - Sala comedor. - Cocina con reposteros. - Lavanderia. 11 vo piso. Al ingresar el departamento nos encontramos con una amplia sala comedor. A un lado encontramos la lavandería con excelente ventilación. Su dormitorio principal es amplio con vista externa, tiene closet y un baño completo. El dormitorio secundario cuenta con closet incorporado, con espacio suficiente para una cama de 2 plazas. El tercer dormitorio cuenta con closet incorporado y tiene espacio para una cama de 2 plazas. El departamento esta en perfecto estado y cuenta con acabados de primera. Características del edificio. - 12 pisos en total. condiciones. 2X1: 2 Meses de garantía y 1 mes de adelanto. Contrato mínimo de un año. mayor información - broker inmobiliario. luis de la cruz - 9. 6. 6. 3. 8. 2. 1. 6. 4. Dlc inmobiliaria",Super destacado,Contactar,
"S/ 2,880",13%,(USD 800),S/ 310 Mantenimiento,Av Bertolotto 270,"San Miguel, Lima",100 m²,100 m²,3 dorm.,2 baños,"Departamento Vista Panorámica Al Mar 3 Dorm.Precioso Departamento, amoblado o sin amoblar. Su diseño estructural permite que la ventilación y la luz natural irradie en todos los ambientes con luminosidad, frescura y confort. Levantante cada mañana con una bella vista al mar. Frente a parque (malecón) donde podrás hacer ejercicio caminar con la brisa del mar o leer un libro. A solo pasos de Magdalena del mar. Características: vista panorámica al mar desde sala Y habitación principal. Sala-comedor- balcón. Cocina cerrada con muebles altos y bajos, cocina encimera, horno, campana. 3 Dormitorios con closet, principal con baño interno con tina. Baño completo para las habitaciones secundarias. Baño de visita. Lavandería con therma. Área comunes: Sala de reuniones, zona de parrillas y terraza, recepción. Requisitos: Alquiler. mínimo contrato a 1 año. 3 últimas boletas de pago. Infocorp con buena calificación. Documentos de identidad. Estacionamiento disponible por un precio adicional",Super destacado,Contactar
"S/ 2,900",S/ 300 Mantenimiento,Calle los mirtos 590,"San Eugenio, Lince",102 m²,102 m²,3 dorm.,2 baños,"Lindo Departamento con Vista Al Centro Empresarial San IsidroLindo departamento en piso 21 /102m2. *Lo entrega como nuevo, el departamento está siendo pintado. S/. 2800 soles con estacionamiento. S/. 3000 soles con estacionamiento y depósito. 300 soles mantenimiento. 40 soles arbitrios. 3 dormitorios + 2 baños completos + 1 medio baño +sala comedor balcón + cocina con campana horno reporteros altos y bajos + área de lavandería + cuarto y baño de servicio. Gas califa. 24 horas de seguridad. Videovigilancia. Áreas comunes. Excelente ubicación cerca la victoria Surquillo San Isidro Miraflores Jesús Maria San Borja Magdalena. 1año mínimo de contrato No negociable. 2x1 No Negociables",Super destacado,Contactar,,
"S/ 3,000",(USD 850),S/ 250 Mantenimiento,SAN FELIPE 637,"Salaverry Et.2, Jesús María",97 m²,97 m²,3 dorm.,2 baños,"Alquilo Departamneto Club House de 3 Dorm. Vista Calle en San Felipe 637Alquilo departamneto club house, full amoblado moderno Y luminoso departamento de A. C. 97 M2, excelente distribución, ubicado en la av. San felipe 637, piso 18, campana extractora Y terma, 2 modernos ascensores, edificio antisísmico de 19 pisos residencial del prado. Excelente ubicación: A pasos de san isidro, frente A la cámara de comercio, parroquia san antonio de padua, embajada de italia, universidad pacífico, upc, clínica san felipe, farmacias, supermercados, bancos, restaurantes, A dos cuadras de la central de serenazgo. Edificio de 9 años de construído, distribución: sala-comedor, espacio para escritorio E internet, 3 dormitorios (2 con closets), terraza con vista calle, 2 baños completos (1 con ducha Y otro incorporado con tina), la cocina con reposteros altos Y bajos de melamine, comedor de diario. áreas comunes: elegante lobby de recepción, 2 piscinas para adultos Y niños, gimnasio, sauna, sala de reuniones. Ver video. ! Alberto chavez. Ver datos",Super destacado,Contactar,
"S/ 2,294",(USD 620),S/ 180 Mantenimiento,"Maranga, San Miguel",110 m²,110 m²,3 dorm.,2 baños,"Alquiler de Departamento Super Amplio en San Miguel 3 Dorm.Lindo departamento de 3 dormitorios arquitectura moderna, calle super tranquila de doble via, facil acceso, cerca A centros comerciales. Departamento super comodo con mucha luz Sin Muebles, 7 años de antigüedad, Vista a la Calle, en muy buen estado, Piso 5, 2 Departamentos por piso, 18 Departamentos en total, Guardianía, Flat. Sala, Living-Comedor, Cocina, 3 Dormitorios, 2. 0 Baños, 1 Baño incorporado, Lavandería. Ascensor. Areas comunes, Permite mascotas.",Destacado,Contactar,,
"S/ 2,770","(USD 150,000)",S/ 1 Mantenimiento,costanera 300,"San Miguel, Lima",95 m²,95 m²,3 dorm.,2 baños,"Oportunidad! Se Vende Departamento con Hermosa Vista Al OcéanoSe vende hermoso departamento con espectacular vista al océano ubicado en la Costanera, San Miguel. El departamento se encuentra en un zona pacifica y segura. Ubicado en el octavo piso, el departamento cuenta con 3 dormitorios con excelentes acabados y buena iluminación, además de tener armarios empotrados y muy bonita vista interior del distrito de San Miguel; la habitación principal tiene un balcón desde el cual se puede obtener una bella vista del océano; la sala comedor también cuenta con la característica de poseer una bella vista a la costanera y por consiguiente al océano. La cocina tiene reposteros bajos y altos, y una bonita barra, una zona de lavandería; 2 baños con hermosos acabados; el departamento cuenta también con cochera y un pequeño depósito. Precio: $ Ver datos. Contacto: Alonso Panduro. 9. 6. 4. 9. 2. 0. 9. 5. 5",Destacado,Contactar,
"S/ 3,000",S/ 1 Mantenimiento,"S/n, Lince",230 m²,230 m²,3 dorm.,3 baños,"Alquilo Amplio Departamento en Lince Limite con San Isidro, Zona FinancieraSe alquila amplio departamento en 2do piso, A 3 cuadras de la zona financiera de san isidro, javier prado, paseo de la republica( via expresa). Area: 230M2. piso: 2do. sala comedor: amplios Y separados. Dormitorios: 3. baños: 2 completos. 1 de servicio. terraza: amplia. cocina: con muebles bajos. lavanderia: independiente. Precio de renta: S/ 3000. - condiciones: 2 meses de garantia Y 1 adelantado. informes Y visitas: Ver datos",Destacado,Contactar,,,
"S/ 2,900",(USD 800),S/ 17 Mantenimiento,"CALLE PEREZ LIENZO 101, URB. PANDO","Pando, San Miguel",150 m²,150 m²,3 dorm.,2 baños,"Amplio Departamento en Alquiler - San MiguelSe alquila departamento remodelado de estreno tipo casita en 1er piso, ubicado calle perez lienzo C/1, urb. Pando 4ta etapa, altura cuadra 20 de la av. La marina Y centro comercial plaza san miguel. Cerca A universidad catolica, upc, centros de idiomas, restaurantes, farmacias, clinicas, mercados. Comunicarse al 9. 9. 4. 2. 2. 3. 4. 7. 2. Con monica caller G. Renta mensual S/. 2, 900 soles N E G O C I A B L E. distribucion: - hall de ingreso Y/O recepcion. - sala comedor espaciosa. - cocina con muebles altos Y bajos. - lavanderia Y tendal. - estudio. - 3 dormitorios. - 2 baños completos. - jardin parte trasera. - 1 cochera. recibo de luz Y agua independiente. condiciones: 1X1. contrato por 1 año. sustento de ingresos. infocorp. ser peruanos. 1 mascota pequeña",Destacado,Contactar,
"S/ 3,000",S/ 300 Mantenimiento,Jirón Huiracocha 2307,"Residencial San Felipe, Jesús María",100 m²,100 m²,4 dorm.,3 baños,"Alquiler Departamento Jesús María - Jirón Huiracocha 2307Departamento sin amoblar con hermosa vista, acogedor, espacioso, y con una excelente ubicación, con fácil acceso a Av. Salaverry y Av. Gregorio Escobedo. Se encuentra a una cuadra de las Universidades Pacífico y upc, así como al cc Real Plaza Salaverry. Departamento se encuentra en el piso 18: - Amplia Sala y comedor con balcón. - Cocina con reposteros altos y bajos. - Lavandería amplia e iluminada. - Dormitorio principal es bastante amplio con closet, baño incluido y vista a la residencial San Felipe. - 02 dormitorios secundarios con vista exterior, ambos comparten baño. - Cuarto de servicio con baño incluido. - Estacionamiento techado en el sótano. Areas comunes: - Hall de recepción y vigilancia 24/7. - Gimnasio. - Sala de reuniones con terraza y zona parrillera. - Estacionamientos para visita. Mantenimiento: 300 soles. El precio no Incluye estacionamiento S/. 280 adicional.",Destacado,Dueño directo,Contactar,
"S/ 2,400",S/ 270 Mantenimiento,manco segundo 175,"San Miguel, Lima",100 m²,100 m²,3 dorm.,2 baños,"Alquiler Duplex y CocheraEdificio ubicado en calle manco ii edificio up town, a 4 cdras. De la av. La marina, upc, Hiiraoka, icpna, Supermercado Metro, Gimnasio, colegio claretiano, y a 3 cdras. A la av. Escardo. A 2 cdras. De parque vallejo, parroquia, a 1 cdra. De tambo, a 5 minutos de plaza san miguel. Área total dúplex: 100m2. Precio: S/. 2, 400 soles solo alquiler. Piso: 17. Características y distribución: 1er nivel: Sala y comedor amplio con balcón amplio, en donde tienes una hermosa vista alejada al mar y la vista interior de las áreas comunes del edificio. Cocina con muebles altos y bajos con mesa de granito. Tiene campana extractora, cocina, microondas y horno. Lavandería amplia, lavadero, espacio para lavadora, secadora, Tiene terma, y un espacio pequeño para tendal. 1 baño de visita. 2do nivel: -3 habitaciones con closet incorporado y vista exterior. - 1 habitación (cama queen) con baño incorporado. - 2 habitación (cama de 2 plazas) - 3ra habitación (cama 11/2 plaza) -2 baños con ducha. Todo el dpto. Tiene papel colomural, y pisos laminados. Áreas comunes (1er piso) Piscina, zona de parrilla, gym, zona para eventos sociales, juegos para niños, cooworking y área verde. Mantenimiento: 250 soles aprox. Incluido el agua. Cochera en 1er sótano. Condiciones y requisitos: Máximo 5 personas. se acepta 2 mascotas máximo y de tamaño pequeño. Contrato por 1 año mínimo de alquiler. Forma de pago: 2 meses de garantía y 1 mes de adelanto. Tener documentos formales que sustenten sus ingresos.",Destacado,Contactar,,
