,title,company,location,Link
0,Data Engineer,NTT DATA,"Chorrillos, Lima",https://www.bumeran.com.pe/empleos/data-engineer-ntt-data-1115960702.html
35,Data Engineer Azure,NTT DATA,"Lima, Lima",https://www.bumeran.com.pe/empleos/data-engineer-azure-ntt-data-1115957443.html
61,Data Engineer Big Data,Zoluxiones SAC,"Surquillo, Lima",https://www.bumeran.com.pe/empleos/data-engineer-big-data-zoluxiones-sac-1115986230.html
87,DATA ENGINEER,Cencosud Perú S.A,"Miraflores, Lima",https://www.bumeran.com.pe/empleos/data-engineer-cencosud-peru-s.a-1115994254.html
110,Data Engineer,Zoluxiones SAC,"Miraflores, Lima",https://www.bumeran.com.pe/empleos/data-engineer-zoluxiones-sac-1115985492.html
185,Data Scientist,Zoluxiones SAC,"Miraflores, Lima",https://www.bumeran.com.pe/empleos/data-scientist-zoluxiones-sac-1115985501.html
237,Data Analyst,INTERCORP RETAIL,"Lima, Lima",https://www.bumeran.com.pe/empleos/data-analyst-intercorp-retail-1115958955.html
287,Data Scientist,Cooperativa de Ahorro y Crédito Pacífico,Perú,https://www.bumeran.com.pe/empleos/data-scientist-cooperativa-de-ahorro-y-credito-pacifico-1115871714.html
310,Data Scientist,Encora,"Lima, Lima",https://www.bumeran.com.pe/empleos/data-scientist-encora-1115952783.html
380,Data Engineer Senior,Confidencial,"La Molina, Lima",https://www.bumeran.com.pe/empleos/data-engineer-senior-1115994160.html
405,Especialista de Data Analyst,BITEL,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/especialista-de-data-analyst-bitel-1115986252.html
428,Analista de Datos,Industrias San Miguel,"Surco, Lima",https://www.bumeran.com.pe/empleos/analista-de-datos-industrias-san-miguel-1115991406.html
451,Analista de Data Science,G.W. Yichang Cia. S.A.,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/analista-de-data-science-g.w.-yichang-cia.-s.a.-1115972371.html
475,Ingenierio de Datos,Deprodeca,"Surquillo, Lima",https://www.bumeran.com.pe/empleos/ingenierio-de-datos-deprodeca-1115988043.html
501,UPN: Data Analyst,Laureate Perú,"Lima, Lima",https://www.bumeran.com.pe/empleos/upn-data-analyst-laureate-peru-1115943798.html
581,Ingeniero de datos,Talma Servicios Aeroportuarios,"Callao, Lima",https://www.bumeran.com.pe/empleos/ingeniero-de-datos-talma-servicios-aeroportuarios-1115991505.html
604,Ingeniero de datos,Talma Servicios Aeroportuarios,"Callao, Lima",https://www.bumeran.com.pe/empleos/ingeniero-de-datos-talma-servicios-aeroportuarios-1115967434.html
627,Ingeniero de datos,Talma Servicios Aeroportuarios,"Callao, Lima",https://www.bumeran.com.pe/empleos/ingeniero-de-datos-talma-servicios-aeroportuarios-1115947145.html
652,Científico de Datos,Deprodeca,"Surquillo, Lima",https://www.bumeran.com.pe/empleos/cientifico-de-datos-deprodeca-1115956783.html
745,Senior Data Scientist ACOE,Caja Arequipa,"San Isidro, Lima",https://www.bumeran.com.pe/empleos/senior-data-scientist-acoe-caja-arequipa-1115999021.html
792,INGENIERO DE DATOS - AREQUIPA,ESTILOS SRL,"Arequipa, Arequipa",https://www.bumeran.com.pe/empleos/ingeniero-de-datos-arequipa-estilos-srl-1115977341.html
815,Cientifico de Datos,Talma Servicios Aeroportuarios,"Callao, Lima",https://www.bumeran.com.pe/empleos/cientifico-de-datos-talma-servicios-aeroportuarios-1115990911.html
839,Cientifico de Datos,Talma Servicios Aeroportuarios,"Callao, Lima",https://www.bumeran.com.pe/empleos/cientifico-de-datos-talma-servicios-aeroportuarios-1115981502.html
863,Analista de Datos (Presencial),Crazy Llama,"Miraflores, Lima",https://www.bumeran.com.pe/empleos/analista-de-datos-presencial-crazy-llama-1115982035.html
